p_data,p_cnot,p_measurement,p_recovery,effective_qec1_error,effective_qec3_error,estimated_qec1_accuracy,estimated_qec3_accuracy,qec3_minus_qec1_accuracy,qec1_minus_qec3_logical_error
0.005,0.01,0.01,0.005,0.011140000075101852,0.014179999940097332,0.6583583967000246,0.5371120021924377,-0.1212463945075869,-0.0030399998649954796
0.005,0.02,0.01,0.005,0.022924000397324562,0.03458400070667267,0.32888159539103506,0.23778031680583955,-0.09110127858519551,-0.011660000309348106
0.005,0.0,0.02,0.005,0.00041599999531172216,9.40000027185306e-05,0.9138008000056259,0.9141871999967378,0.0003863999911118965,0.00032199999259319156
0.005,0.001,0.02,0.005,0.001475999946705997,0.0014059999957680702,0.9125526000612881,0.9126331000048667,8.049994357861578e-05,6.999995093792677e-05
0.005,0.002,0.02,0.005,0.0026259999722242355,0.0025760000571608543,0.9093521001152693,0.9095595997627824,0.00020749964751309857,4.9999915063381195e-05
0.005,0.005,0.02,0.005,0.005681999959051609,0.006796000059694052,0.8737841010216624,0.8424475982449949,-0.03133650277666744,-0.0011140001006424427
0.005,0.01,0.02,0.005,0.011524000205099583,0.014870000071823597,0.6414854309879244,0.5118579973712564,-0.12962743361666806,-0.0033459998667240143
0.005,0.02,0.02,0.005,0.023173999041318893,0.03510800004005432,0.3259816111207008,0.23569911992549897,-0.09028249119520182,-0.011934000998735428
0.005,0.0,0.05,0.005,0.0010720000136643648,0.00018400000408291817,0.913017199984286,0.9140791999951005,0.0010620000108144678,0.0008880000095814466
0.005,0.001,0.05,0.005,0.0020359999034553766,0.0016639999812468886,0.9118006004006602,0.9123364000215661,0.0005357996209058857,0.000371999922208488
0.005,0.002,0.05,0.005,0.0032399999909102917,0.003192000091075897,0.9063960000531748,0.9066767994672059,0.00028079941403114095,4.7999899834394455e-05
0.005,0.005,0.05,0.005,0.006870000157505274,0.008117999881505966,0.8402719953693449,0.790469805201888,-0.049802190167456906,-0.0012479997240006924
0.005,0.01,0.05,0.005,0.01260599959641695,0.01711600087583065,0.5947204147711397,0.4400227722361684,-0.15469764253497126,-0.0045100012794137
0.005,0.02,0.05,0.005,0.024730000644922256,0.039531998336315155,0.3079319925189018,0.22125256818532946,-0.08667942433357234,-0.014801997691392899
0.01,0.0,0.0,0.005,0.00033000000985339284,0.00029600001289509237,0.913903999988176,0.9139447999845259,4.079999634998277e-05,3.399999695830047e-05
0.01,0.001,0.0,0.005,0.001424000016413629,0.001424000016413629,0.9126123999811243,0.9126123999811243,0.0,0.0
0.01,0.002,0.0,0.005,0.002580000087618828,0.002518000081181526,0.9095429996363819,0.9098002996630966,0.0002573000267147574,6.200000643730164e-05
0.01,0.005,0.0,0.005,0.005634000059217215,0.006262000184506178,0.8749816985225305,0.8581471945755184,-0.016834503947012136,-0.0006280001252889633
0.01,0.01,0.0,0.005,0.01129399985074997,0.013938000425696373,0.6515916465580464,0.5459691844195128,-0.10562246213853355,-0.0026440005749464035
0.01,0.02,0.0,0.005,0.023291999474167824,0.033362001180648804,0.3246128060996532,0.2433037546634674,-0.0813090514361858,-0.01007000170648098
0.01,0.0,0.005,0.005,0.0005419999943114817,0.0003020000003743917,0.9136496000068263,0.9139375999995507,0.00028799999272444143,0.00023999999393709004
0.01,0.001,0.005,0.005,0.0016039999900385737,0.0015160000184550881,0.9124054000114556,0.9125065999787767,0.00010119996732105285,8.79999715834856e-05
0.01,0.002,0.005,0.005,0.0026499999221414328,0.002613999880850315,0.909252500323113,0.9094019004944711,0.00014940017135811612,3.600004129111767e-05
0.01,0.005,0.005,0.005,0.005805999971926212,0.0064940000884234905,0.8706903007004411,0.8513263974003494,-0.019363903300091634,-0.0006880001164972782
0.01,0.01,0.005,0.005,0.011327999643981457,0.014440000057220459,0.6500976956434549,0.5275959979057312,-0.12250169773772368,-0.0031120004132390022
0.01,0.02,0.005,0.005,0.02390200085937977,0.034609999507665634,0.31753679003119467,0.23766280222535136,-0.07987398780584332,-0.010707998648285866
0.01,0.0,0.01,0.005,0.0006839999696239829,0.0003220000071451068,0.9134792000364512,0.9139135999914259,0.00043439995497462913,0.0003619999624788761
0.01,0.001,0.01,0.005,0.00184599997010082,0.001550000044517219,0.9121271000343841,0.9124674999488053,0.00034039991442114115,0.000295999925583601
0.01,0.002,0.01,0.005,0.0027759999502450228,0.0028880001045763493,0.9087296002064831,0.9082647995660081,-0.0004648006404749383,-0.00011200015433132648
0.01,0.005,0.01,0.005,0.006056000012904406,0.006657999940216541,0.8642035996206104,0.8465048017576338,-0.01769879786297668,-0.0006019999273121357
0.01,0.01,0.01,0.005,0.011814000084996223,0.014539999887347221,0.628742836265266,0.5239360041230917,-0.10480683214217423,-0.002725999802350998
0.01,0.02,0.01,0.005,0.023800000548362732,0.03478199988603592,0.3187199936389923,0.23688536051511766,-0.08183463312387462,-0.010981999337673187
0.01,0.0,0.02,0.005,0.0010720000136643648,0.0003440000000409782,0.913017199984286,0.9138871999999508,0.0008700000156648402,0.0007280000136233866
0.01,0.001,0.02,0.005,0.002099999925121665,0.0016060000052675605,0.9115350003107451,0.9124030999939423,0.0008680996831972321,0.0004939999198541045
0.01,0.002,0.02,0.005,0.0033599999733269215,0.0030139998998492956,0.9056940001560375,0.9077181005858815,0.0020241004298440224,0.00034600007347762585
0.01,0.005,0.02,0.005,0.006449999753385782,0.0073460000567138195,0.8526200072504581,0.8223331976860762,-0.0302868095643819,-0.0008960003033280373
0.01,0.01,0.02,0.005,0.012476000003516674,0.015731999650597572,0.5996545598454774,0.483895611076057,-0.11575894876942044,-0.0032559996470808983
0.01,0.02,0.02,0.005,0.024215999990701675,0.03607599809765816,0.3138944001078605,0.23389864353835585,-0.07999575656950467,-0.011859998106956482
0.01,0.0,0.05,0.005,0.0021959999576210976,0.0005719999899156392,0.9111366001758725,0.9136136000121012,0.0024769998362287327,0.0016239999677054584
0.01,0.001,0.05,0.005,0.0032760000322014093,0.0021520000882446766,0.9061853998116217,0.9113191996337846,0.005133799822162888,0.0011239999439567327
0.01,0.002,0.05,0.005,0.004360000137239695,0.0034940000623464584,0.8979359984697775,0.9049100996352732,0.006974101165495794,0.0008660000748932362
0.01,0.005,0.05,0.005,0.008008000440895557,0.008820000104606152,0.795298780644685,0.7596519954077899,-0.03564678523689502,-0.0008119996637105942
0.01,0.01,0.05,0.005,0.013976000249385834,0.018198000267148018,0.5445783908724785,0.4132757544219494,-0.1313026364505291,-0.004222000017762184
0.01,0.02,0.05,0.005,0.02615799941122532,0.04075999930500984,0.2929420860290527,0.2165636021822691,-0.07637848384678358,-0.014601999893784523
0.02,0.0,0.0,0.005,0.0011340000201016665,0.0011699999449774623,0.9129458999768831,0.912904500063276,-4.139991360718742e-05,-3.599992487579584e-05
0.02,0.001,0.0,0.005,0.0023040000814944506,0.0023219999857246876,0.910688399661798,0.9106137000592426,-7.469960255546138e-05,-1.7999904230237007e-05
0.02,0.002,0.0,0.005,0.003346000099554658,0.003667999990284443,0.9057758994176052,0.903892200056836,-0.0018836993607691532,-0.00032199989072978497
0.02,0.005,0.0,0.005,0.006610000040382147,0.007449999917298555,0.8479159988127649,0.818090003374219,-0.029825995438545916,-0.0008399998769164085
0.02,0.01,0.0,0.005,0.012582000344991684,0.015647999942302704,0.5955987873733044,0.48655840182900434,-0.10904038554430007,-0.00306599959731102
0.02,0.02,0.0,0.005,0.025033999234437943,0.035190001130104065,0.3044518478393554,0.23554659789800644,-0.06890524994134897,-0.010156001895666122
0.02,0.0,0.005,0.005,0.001541999983601272,0.0011660000309348106,0.9124767000188586,0.912909099964425,0.0004323999455664307,0.00037599995266646147
