p,seed,ideal_code_logical_error,naive_qec_logical_error,flagged_ftec_logical_error,flagged_logical_X,flagged_logical_Y,flagged_logical_Z,flag_trigger_rate,syndrome_trigger_rate,no_trigger_rate,unprotected_accuracy,ideal_code_accuracy,naive_qec_accuracy,flagged_ftec_accuracy,unprotected_f1,ideal_code_f1,naive_qec_f1,flagged_ftec_f1
0.01,4043,0.000977955081481463,0.04208599999999996,0.019847999999999977,0.00674,0.00647,0.006638,0.076352,0.141628,0.78202,0.7435,0.9127,0.1423,0.3507,0.7441597357316054,0.9132326142367271,0.0946231495367004,0.30414929937685037
0.01,4044,0.000977955081481463,0.04208599999999996,0.019847999999999977,0.00674,0.00647,0.006638,0.076352,0.141628,0.78202,0.745,0.9127,0.1465,0.3524,0.7439312342720641,0.9132092611875118,0.09759202821180753,0.3091499432789643
0.01,4045,0.000977955081481463,0.04208599999999996,0.019847999999999977,0.00674,0.00647,0.006638,0.076352,0.141628,0.78202,0.7444,0.9139,0.1389,0.3558,0.743530652321881,0.9144159609053482,0.09103608164143433,0.31071211930020515
0.01,4046,0.000977955081481463,0.04208599999999996,0.019847999999999977,0.00674,0.00647,0.006638,0.076352,0.141628,0.78202,0.7498,0.9127,0.1402,0.3513,0.7498339199793944,0.9131817966777677,0.09229832800103646,0.30858869153522867
0.02,5042,0.0038250514962961946,0.04642000000000002,0.027324000000000015,0.009228,0.008994,0.009102,0.075062,0.18292,0.742018,0.3523,0.9061,0.138,0.2218,0.30758533153381395,0.9073877210213288,0.08988734189350833,0.16931105181727354
0.02,5043,0.0038250514962961946,0.04642000000000002,0.027324000000000015,0.009228,0.008994,0.009102,0.075062,0.18292,0.742018,0.3453,0.906,0.1418,0.2252,0.2997495779385786,0.9071574057079846,0.0936273276937798,0.17080079225611022
0.02,5044,0.0038250514962961946,0.04642000000000002,0.027324000000000015,0.009228,0.008994,0.009102,0.075062,0.18292,0.742018,0.3429,0.9078,0.1369,0.2194,0.29354195689968715,0.9089406715108602,0.08853910007058,0.16678399821372786
0.02,5045,0.0038250514962961946,0.04642000000000002,0.027324000000000015,0.009228,0.008994,0.009102,0.075062,0.18292,0.742018,0.3401,0.9054,0.1379,0.2268,0.2921147853987839,0.9065940293686742,0.08941277198952695,0.1746264866890112
0.02,5046,0.0038250514962961946,0.04642000000000002,0.027324000000000015,0.009228,0.008994,0.009102,0.075062,0.18292,0.742018,0.3407,0.9068,0.1344,0.2234,0.29447948488596837,0.9079486799676969,0.08707918721584304,0.17020554627640516
0.05,6042,0.022331851851851825,0.07031600000000005,0.056772000000000045,0.018892,0.018668,0.019212,0.069608,0.29284,0.637552,0.1311,0.2917,0.122,0.1209,0.08310588582745713,0.2400000045421063,0.07579515011266767,0.07488361755200972
0.05,6043,0.022331851851851825,0.07031600000000005,0.056772000000000045,0.018892,0.018668,0.019212,0.069608,0.29284,0.637552,0.1327,0.2943,0.1167,0.125,0.08525004729381225,0.24267284710693676,0.06978860211576172,0.07828359223491993
0.05,6044,0.022331851851851825,0.07031600000000005,0.056772000000000045,0.018892,0.018668,0.019212,0.069608,0.29284,0.637552,0.1353,0.2888,0.1206,0.1236,0.08594967010859324,0.23715512838185554,0.07279395204463092,0.07519991144980186
0.05,6045,0.022331851851851825,0.07031600000000005,0.056772000000000045,0.018892,0.018668,0.019212,0.069608,0.29284,0.637552,0.1278,0.2893,0.1234,0.1269,0.0803221845903749,0.2361251010167064,0.07419055409376404,0.07835575859748103
0.05,6046,0.022331851851851825,0.07031600000000005,0.056772000000000045,0.018892,0.018668,0.019212,0.069608,0.29284,0.637552,0.1325,0.2953,0.1191,0.1292,0.08259562392397339,0.24392805185731023,0.07430958046205542,0.07926432449032275
