p,seed,ideal_logical_error,previous_flagged_logical_error,majority3_logical_error,history3_logical_error,history_coset_prediction_accuracy,temporal_syndrome_change_rate,three_round_flag_cycle_rate,unprotected_accuracy,ideal_code_accuracy,previous_flagged_accuracy,majority3_accuracy,history3_accuracy,unprotected_f1,ideal_code_f1,previous_flagged_f1,majority3_f1,history3_f1
0.01,40043,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.06015000000000004,0.873283326625824,0.3617466688156128,0.22576665878295898,0.7501,0.914,0.3508,0.1175,0.1213,0.7500639869497845,0.9145440873712631,0.30448115416190735,0.07061728732623677,0.07339384619650702
0.01,40044,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.06015000000000004,0.873283326625824,0.3617466688156128,0.22576665878295898,0.7472,0.9128,0.3548,0.1178,0.123,0.7473763304232142,0.9133441552787623,0.305783008995114,0.07093754793995774,0.07738037967977171
0.01,40045,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.06015000000000004,0.873283326625824,0.3617466688156128,0.22576665878295898,0.7456,0.9132,0.3508,0.1183,0.1255,0.7439124269957583,0.9136922032102802,0.3018139955979977,0.06960399092337552,0.07832467676119481
0.01,40046,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.06015000000000004,0.873283326625824,0.3617466688156128,0.22576665878295898,0.7499,0.9134,0.3471,0.1185,0.1273,0.7502528714925771,0.9138736096788325,0.2986075604126689,0.06953253261227955,0.07905797805824562
0.02,50042,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.0660533333333333,0.8673466444015503,0.36143332719802856,0.22393333911895752,0.3415,0.9052,0.2219,0.1171,0.1212,0.29178372378958106,0.9064657270918867,0.1675710407549201,0.06845003027464659,0.07036357225488048
0.02,50043,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.0660533333333333,0.8673466444015503,0.36143332719802856,0.22393333911895752,0.3462,0.9071,0.2188,0.1192,0.1234,0.3012767570044535,0.9083132807838276,0.16692579324481888,0.07005069991584414,0.07501577421274355
0.02,50044,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.0660533333333333,0.8673466444015503,0.36143332719802856,0.22393333911895752,0.344,0.908,0.2224,0.1199,0.1194,0.29762991223997504,0.9091638626547212,0.16882240369277263,0.07068733943872423,0.07070434917033946
0.02,50045,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.0660533333333333,0.8673466444015503,0.36143332719802856,0.22393333911895752,0.3418,0.9069,0.2169,0.1187,0.1228,0.2979295243498271,0.9081585097391611,0.16415586129224652,0.06955610183267472,0.07332228769182794
0.02,50046,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.0660533333333333,0.8673466444015503,0.36143332719802856,0.22393333911895752,0.336,0.9048,0.22,0.1164,0.1196,0.29014020879573965,0.9059996970203354,0.1674107346370744,0.07060399910538814,0.0718220279846048
0.05,60042,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.09606999999999999,0.8387666940689087,0.36078333854675293,0.2241833359003067,0.1278,0.2966,0.1271,0.1198,0.1183,0.07856513684232411,0.24508103211353566,0.07909268678971379,0.07142551727267607,0.07001880233858883
0.05,60043,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.09606999999999999,0.8387666940689087,0.36078333854675293,0.2241833359003067,0.1315,0.2931,0.1259,0.1203,0.1206,0.0814809567013964,0.23875027245230887,0.07888670249871989,0.07285595435364267,0.07253925372661928
0.05,60044,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.09606999999999999,0.8387666940689087,0.36078333854675293,0.2241833359003067,0.1303,0.291,0.1239,0.1176,0.1138,0.08139845914058971,0.2402086815828913,0.07508677230930626,0.06961773646108974,0.06629612908332846
0.05,60045,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.09606999999999999,0.8387666940689087,0.36078333854675293,0.2241833359003067,0.1285,0.2968,0.1259,0.1183,0.1206,0.08030475738048141,0.2452996721264676,0.0773046859811758,0.06910823046320289,0.07113740857882306
0.05,60046,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.09606999999999999,0.8387666940689087,0.36078333854675293,0.2241833359003067,0.1313,0.2937,0.1264,0.1213,0.1199,0.08459009193030298,0.2427105148501659,0.07716286602016911,0.0713773793463032,0.07125291270257042
