physical_depolarizing_p,seed,logical_I_probability,logical_X_probability,logical_Y_probability,logical_Z_probability,logical_error_probability,unprotected_accuracy,five_qubit_accuracy,unprotected_macro_f1,five_qubit_macro_f1,unprotected_seconds,five_qubit_seconds
0.005,3043,0.9997527666814816,8.24111061728402e-05,8.241110617284021e-05,8.241110617284022e-05,0.0002472333185183917,0.8982,0.9134,0.8998297933134332,0.9137788971971634,0.9557275772094727,0.9858946800231934
0.005,3044,0.9997527666814816,8.24111061728402e-05,8.241110617284021e-05,8.241110617284022e-05,0.0002472333185183917,0.8979,0.9148,0.8995984516422084,0.9151799380862322,0.9553649425506592,0.9868607521057129
0.005,3045,0.9997527666814816,8.24111061728402e-05,8.241110617284021e-05,8.241110617284022e-05,0.0002472333185183917,0.8968,0.9136,0.8984294690055366,0.9139760621800755,0.955876350402832,0.9859123229980469
0.005,3046,0.9997527666814816,8.24111061728402e-05,8.241110617284021e-05,8.241110617284022e-05,0.0002472333185183917,0.8959,0.914,0.8976274880354321,0.9144182988795728,0.956035852432251,0.9858493804931641
0.01,4042,0.9990220449185185,0.0003259850271604922,0.0003259850271604921,0.00032598502716049216,0.000977955081481463,0.7543,0.9129,0.7554261610528727,0.913387207086884,0.955681324005127,0.9866683483123779
0.01,4043,0.9990220449185185,0.0003259850271604922,0.0003259850271604921,0.00032598502716049216,0.000977955081481463,0.7435,0.9127,0.7441597357316054,0.9132326142367271,0.9555237293243408,0.9863297939300537
0.01,4044,0.9990220449185185,0.0003259850271604922,0.0003259850271604921,0.00032598502716049216,0.000977955081481463,0.745,0.9127,0.7439312342720641,0.9132092611875118,0.9563698768615723,0.9869303703308105
0.01,4045,0.9990220449185185,0.0003259850271604922,0.0003259850271604921,0.00032598502716049216,0.000977955081481463,0.7444,0.9139,0.743530652321881,0.9144159609053482,0.9561038017272949,0.9861724376678467
0.01,4046,0.9990220449185185,0.0003259850271604922,0.0003259850271604921,0.00032598502716049216,0.000977955081481463,0.7498,0.9127,0.7498339199793944,0.9131817966777677,0.9554903507232666,0.9857771396636963
0.02,5042,0.9961749485037038,0.0012750171654320945,0.0012750171654320945,0.0012750171654320945,0.0038250514962961946,0.3523,0.9061,0.30758533153381395,0.9073877210213288,1.0123875141143799,0.9868752956390381
0.02,5043,0.9961749485037038,0.0012750171654320945,0.0012750171654320945,0.0012750171654320945,0.0038250514962961946,0.3453,0.906,0.2997495779385786,0.9071574057079846,0.9554474353790283,0.9864592552185059
0.02,5044,0.9961749485037038,0.0012750171654320945,0.0012750171654320945,0.0012750171654320945,0.0038250514962961946,0.3429,0.9078,0.29354195689968715,0.9089406715108602,0.9550743103027344,0.9865596294403076
0.02,5045,0.9961749485037038,0.0012750171654320945,0.0012750171654320945,0.0012750171654320945,0.0038250514962961946,0.3401,0.9054,0.2921147853987839,0.9065940293686742,0.9565868377685547,0.9858367443084717
0.02,5046,0.9961749485037038,0.0012750171654320945,0.0012750171654320945,0.0012750171654320945,0.0038250514962961946,0.3407,0.9068,0.29447948488596837,0.9079486799676969,0.9550821781158447,0.9865248203277588
0.05,6042,0.9776681481481482,0.00744395061728397,0.007443950617283969,0.007443950617283969,0.022331851851851825,0.1311,0.2917,0.08310588582745713,0.2400000045421063,0.9557187557220459,0.9864988327026367
0.05,6043,0.9776681481481482,0.00744395061728397,0.007443950617283969,0.007443950617283969,0.022331851851851825,0.1327,0.2943,0.08525004729381225,0.24267284710693676,0.9557173252105713,0.9873247146606445
0.05,6044,0.9776681481481482,0.00744395061728397,0.007443950617283969,0.007443950617283969,0.022331851851851825,0.1353,0.2888,0.08594967010859324,0.23715512838185554,0.9551749229431152,0.9866652488708496
0.05,6045,0.9776681481481482,0.00744395061728397,0.007443950617283969,0.007443950617283969,0.022331851851851825,0.1278,0.2893,0.0803221845903749,0.2361251010167064,0.9568195343017578,0.985698938369751
0.05,6046,0.9776681481481482,0.00744395061728397,0.007443950617283969,0.007443950617283969,0.022331851851851825,0.1325,0.2953,0.08259562392397339,0.24392805185731023,0.9556441307067871,0.9864203929901123
