p,seed,ideal_code_logical_error,qec1_logical_error,qec3_logical_error,qec1_logical_X,qec1_logical_Y,qec1_logical_Z,qec3_logical_X,qec3_logical_Y,qec3_logical_Z,unprotected_accuracy,ideal_code_accuracy,qec1_accuracy,qec3_accuracy,unprotected_f1,ideal_code_f1,qec1_f1,qec3_f1
0.005,3045,0.0002472333185183917,0.04017599999999999,0.07082,0.013722,0.013142,0.013312,0.024592,0.022926,0.023302,0.8968,0.9136,0.1442,0.1224,0.8984294690055366,0.9139760621800755,0.09678532670898161,0.07389752190943796
0.005,3046,0.0002472333185183917,0.04017599999999999,0.07082,0.013722,0.013142,0.013312,0.024592,0.022926,0.023302,0.8959,0.914,0.1429,0.1215,0.8976274880354321,0.9144182988795728,0.0956672984262968,0.07400789520952411
0.01,4042,0.000977955081481463,0.04256199999999999,0.07284999999999997,0.014368,0.01418,0.014014,0.02544,0.023932,0.023478,0.7543,0.9129,0.1399,0.1185,0.7554261610528727,0.913387207086884,0.09027781702890797,0.06895288347187195
0.01,4043,0.000977955081481463,0.04256199999999999,0.07284999999999997,0.014368,0.01418,0.014014,0.02544,0.023932,0.023478,0.7435,0.9127,0.1382,0.1216,0.7441597357316054,0.9132326142367271,0.09133661132737653,0.075425166543474
0.01,4044,0.000977955081481463,0.04256199999999999,0.07284999999999997,0.014368,0.01418,0.014014,0.02544,0.023932,0.023478,0.745,0.9127,0.1429,0.1136,0.7439312342720641,0.9132092611875118,0.09333891634516087,0.06527524077941864
0.01,4045,0.000977955081481463,0.04256199999999999,0.07284999999999997,0.014368,0.01418,0.014014,0.02544,0.023932,0.023478,0.7444,0.9139,0.1373,0.1215,0.743530652321881,0.9144159609053482,0.08860656782246634,0.07261997758764877
0.01,4046,0.000977955081481463,0.04256199999999999,0.07284999999999997,0.014368,0.01418,0.014014,0.02544,0.023932,0.023478,0.7498,0.9127,0.1418,0.1211,0.7498339199793944,0.9131817966777677,0.09445248556956883,0.07086263667096102
0.02,5042,0.0038250514962961946,0.047023999999999955,0.07806599999999997,0.01599,0.015604,0.01543,0.027198,0.025632,0.025236,0.3523,0.9061,0.1366,0.1156,0.30758533153381395,0.9073877210213288,0.08866588236282343,0.06979195764110427
0.02,5043,0.0038250514962961946,0.047023999999999955,0.07806599999999997,0.01599,0.015604,0.01543,0.027198,0.025632,0.025236,0.3453,0.906,0.1364,0.1183,0.2997495779385786,0.9071574057079846,0.08803717318746548,0.07012246447447265
0.02,5044,0.0038250514962961946,0.047023999999999955,0.07806599999999997,0.01599,0.015604,0.01543,0.027198,0.025632,0.025236,0.3429,0.9078,0.1308,0.116,0.29354195689968715,0.9089406715108602,0.08251277625817892,0.06998517246715101
